schedule,poster,show_date,cinema,duration,title,show_times
,https://image.tmdb.org/t/p/w342//nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,"Friday, 27th October","Anga Mega, Kisumu",109 min,Geostorm,"18:30(3D)—Regularticket,22:30(3D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,"Friday, 27th October",Anga Sky Cinema,109 min,Geostorm,"17:40(3D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,"Friday, 27th October",Planet Media Cinemas - Westgate,109 min,Geostorm,"18:30(3D)—Regularticket,20:40(3D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,"Friday, 27th October",Anga IMAX Kenya - 20th Century,109 min,Geostorm,"18:30(3D)—Regularticket,20:30(3D)—Regularticket,22:30(3D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,"Friday, 27th October",Nyali Cinemax,109 min,Geostorm,"18:30(2D)—offer,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,"Friday, 27th October",Planet Media Cinemas - Prestige,109 min,Geostorm,
,https://image.tmdb.org/t/p/w342//nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,"Friday, 27th October",Century Cinemax Junction,109 min,Geostorm,"17:30(3D)—Regularticket,19:45(3D)—Regularticket,22:00(3D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,"Friday, 27th October",Century IMAX -  Garden City,109 min,Geostorm,"17:15(3D)—Regularticket,19:30(3D)—Regularticket,21:45(3D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,"Friday, 27th October",Fox Cineplex Sarit,109 min,Geostorm,Bookfutureshows
,https://image.tmdb.org/t/p/w342//3XNfYTW4XGscI81nXMSWGsQ8cpu.jpg,"Friday, 27th October",Century Cinemax Junction,109 min,The Mountain Between Us,"17:30(2D)—Regularticket,19:45(2D)—Regularticket,22:00(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//3XNfYTW4XGscI81nXMSWGsQ8cpu.jpg,"Friday, 27th October",Fox Cineplex Sarit,109 min,The Mountain Between Us,"18:15(3D)—offer,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//3XNfYTW4XGscI81nXMSWGsQ8cpu.jpg,"Friday, 27th October",Century IMAX -  Garden City,109 min,The Mountain Between Us,"17:15(2D)—Regularticket,19:30(2D)—Regularticket,21:45(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//3XNfYTW4XGscI81nXMSWGsQ8cpu.jpg,"Friday, 27th October",Planet Media Cinemas - Prestige,109 min,The Mountain Between Us,"18:20(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//3XNfYTW4XGscI81nXMSWGsQ8cpu.jpg,"Friday, 27th October",Nyali Cinemax,109 min,The Mountain Between Us,"18:30(2D)—offer,21:00(2D)—offer,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//3XNfYTW4XGscI81nXMSWGsQ8cpu.jpg,"Friday, 27th October",Planet Media Cinemas - Westgate,109 min,The Mountain Between Us,"18:40(2D)—Regularticket,21:00(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//3XNfYTW4XGscI81nXMSWGsQ8cpu.jpg,"Friday, 27th October",Anga Sky Cinema,109 min,The Mountain Between Us,"22:40(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//3XNfYTW4XGscI81nXMSWGsQ8cpu.jpg,"Friday, 27th October","Anga Mega, Kisumu",109 min,The Mountain Between Us,"17:20(2D)—Regularticket,22:00(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//5mnOPgQCQls7NbFuf53gDew7uzq.jpg,"Friday, 27th October",Anga Sky Cinema,150 min,Golmaal Again,"19:40(2D)—Regularticket,22:20(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//5mnOPgQCQls7NbFuf53gDew7uzq.jpg,"Friday, 27th October",Planet Media Cinemas - Westgate,150 min,Golmaal Again,"18:00(2D)—Regularticket,20:50(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//5mnOPgQCQls7NbFuf53gDew7uzq.jpg,"Friday, 27th October","Anga Mega, Kisumu",150 min,Golmaal Again,"20:30(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//5mnOPgQCQls7NbFuf53gDew7uzq.jpg,"Friday, 27th October",Nyali Cinemax,150 min,Golmaal Again,"20:45(2D)—offer,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//5mnOPgQCQls7NbFuf53gDew7uzq.jpg,"Friday, 27th October",Planet Media Cinemas - Prestige,150 min,Golmaal Again,20:50(2D)—Regularticket
,https://image.tmdb.org/t/p/w342//5mnOPgQCQls7NbFuf53gDew7uzq.jpg,"Friday, 27th October",Century IMAX -  Garden City,150 min,Golmaal Again,"21:30(2D)—Regularticket,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//5mnOPgQCQls7NbFuf53gDew7uzq.jpg,"Friday, 27th October",Fox Cineplex Sarit,150 min,Golmaal Again,"20:45(2D)—offer,Bookfutureshows"
,https://image.tmdb.org/t/p/w342//pKESfn2Pdy0b7drvZHQb7UzgqoY.jpg,"Friday, 27th October",Anga IMAX Kenya - 20th Century,130 min,Kingsman: The Golden Circle,Bookfutureshows
,https://image.tmdb.org/t/p/w342//pKESfn2Pdy0b7drvZHQb7UzgqoY.jpg,"Friday, 27th October",Nyali Cinemax,130 min,Kingsman: The Golden Circle,Bookfutureshows
,https://image.tmdb.org/t/p/w342//pKESfn2Pdy0b7drvZHQb7UzgqoY.jpg,"Friday, 27th October","Anga Mega, Kisumu",130 min,Kingsman: The Golden Circle,Bookfutureshows
,https://image.tmdb.org/t/p/w342//pKESfn2Pdy0b7drvZHQb7UzgqoY.jpg,"Friday, 27th October",Century Cinemax Junction,130 min,Kingsman: The Golden Circle,"22:00(2D)—Regularticket,Bookfutureshows"
